station,latitude,longitude
KWICOTTA13,43.057156,-89.244202
KWICOTTA28,43.085,-89.232
KWIDANE6,43.199,-89.554
KWIFITCH21,42.997337,-89.439064
KWIFITCH35,43.014,-89.442
KWIFITCH38,43.021,-89.443
KWIFITCH40,43.023815,-89.478459
KWIFITCH41,43.01,-89.399
KWIFITCH42,43.012,-89.442
KWIFITCH46,43.005234,-89.455223
KWIFITCH50,43.005,-89.429
KWIFITCH6,43.022259,-89.479843
KWIFITCH8,43.005127,-89.436485
KWIMADIS1,43.023136,-89.497688
KWIMADIS104,43.157841,-89.366295
KWIMADIS114,43.010033,-89.511818
KWIMADIS118,43.143295,-89.308395
KWIMADIS119,43.137756,-89.309364
KWIMADIS120,43.046539,-89.439461
KWIMADIS130,43.06041,-89.338554
KWIMADIS132,43.02747,-89.530556
KWIMADIS134,43.038223,-89.470428
KWIMADIS151,43.05537,-89.453148
KWIMADIS162,43.005802,-89.445763
KWIMADIS175,42.997288,-89.418129
KWIMADIS18,43.062302,-89.456497
KWIMADIS187,43.032543,-89.484116
KWIMADIS194,43.052059,-89.46302
KWIMADIS195,43.053078,-89.465202
KWIMADIS199,43.146137,-89.386917
KWIMADIS201,43.060829,-89.327957
KWIMADIS208,43.129665,-89.312981
KWIMADIS214,43.000671,-89.398628
KWIMADIS215,43.01754,-89.487358
KWIMADIS226,43.033001,-89.431999
KWIMADIS237,43.089001,-89.32
KWIMADIS238,43.036915,-89.378067
KWIMADIS239,43.056999,-89.431
KWIMADIS249,43.014999,-89.508003
KWIMADIS259,43.07,-89.445999
KWIMADIS262,43.081001,-89.542
KWIMADIS270,43.106,-89.357
KWIMADIS273,43.176,-89.29
KWIMADIS279,43.028799,-89.480341
KWIMADIS283,43.052,-89.463
KWIMADIS284,43.058397,-89.348869
KWIMADIS287,43.061,-89.427
KWIMADIS288,43.081,-89.303
KWIMADIS290,43.016,-89.485
KWIMADIS292,43.083308,-89.518523
KWIMADIS293,43.053,-89.464
KWIMADIS294,43.017,-89.522
KWIMADIS298,43.093,-89.233
KWIMADIS306,43.083,-89.515
KWIMADIS308,43.096315,-89.337114
KWIMADIS310,43.051125,-89.446227
KWIMADIS311,43.003,-89.428
KWIMADIS312,43.017,-89.45
KWIMADIS313,43.004,-89.505
KWIMADIS314,43.094,-89.304
KWIMADIS324,43.171021,-89.288532
KWIMADIS328,43.07,-89.53
KWIMADIS33,43.062019,-89.448875
KWIMADIS331,43.092,-89.32
KWIMADIS332,43.081,-89.495
KWIMADIS333,43.096,-89.331
KWIMADIS334,43.073203,-89.436723
KWIMADIS335,43.069,-89.474
KWIMADIS338,43.055799,-89.443601
KWIMADIS340,43.164,-89.287
KWIMADIS342,43.033,-89.47
KWIMADIS344,43.064,-89.485
KWIMADIS345,43.0965,-89.34536
KWIMADIS347,43.068,-89.462
KWIMADIS349,43.097,-89.369
KWIMADIS35,43.072777,-89.412224
KWIMADIS350,43.017,-89.509
KWIMADIS352,43.068,-89.414
KWIMADIS353,43.082,-89.301
KWIMADIS354,43.037,-89.477
KWIMADIS357,43.059533,-89.421678
KWIMADIS359,43.07,-89.43
KWIMADIS361,43.099378,-89.345437
KWIMADIS362,43.069,-89.419
KWIMADIS363,43.009,-89.488
KWIMADIS364,43.03,-89.491
KWIMADIS365,43.015,-89.513
KWIMADIS366,43.063,-89.483
KWIMADIS367,43.069966,-89.496082
KWIMADIS369,43.133,-89.313
KWIMADIS370,43.006,-89.497
KWIMADIS371,43.037676,-89.376268
KWIMADIS372,43.089,-89.287
KWIMADIS377,43.065,-89.395
KWIMADIS378,43.144,-89.307
KWIMADIS380,43.07,-89.472
KWIMADIS381,43.07,-89.43
KWIMADIS384,43.005,-89.506
KWIMADIS387,43.039,-89.444
KWIMADIS388,43.023,-89.51
KWIMADIS389,43.097544,-89.358042
KWIMADIS392,43.114,-89.29
KWIMADIS393,43.098,-89.357
KWIMADIS394,43.098,-89.357
KWIMADIS395,43.103,-89.335
KWIMADIS396,43.049,-89.469
KWIMADIS397,43.11,-89.352
KWIMADIS398,43.015,-89.493
KWIMADIS399,43.099379,-89.355001
KWIMADIS401,43.048,-89.452
KWIMADIS402,43.104,-89.304
KWIMADIS406,43.004,-89.515
KWIMADIS407,43.063743,-89.43662
KWIMADIS408,43.003,-89.511
KWIMADIS409,43.033,-89.366
KWIMADIS41,43.088249,-89.356979
KWIMADIS410,43.028,-89.532
KWIMADIS50,43.047085,-89.514984
KWIMADIS52,43.070847,-89.406898
KWIMADIS65,43.066669,-89.45343
KWIMADIS72,43.059395,-89.454712
KWIMADIS87,43.088791,-89.481972
KWIMCFAR10,43.033241,-89.281349
KWIMCFAR19,43.03,-89.28
KWIMCFAR20,43.02,-89.293
KWIMCFAR22,43.007,-89.276
KWIMCFAR24,43.023651,-89.286566
KWIMCFAR25,43.011,-89.279
KWIMCFAR8,43.013287,-89.306793
KWIMCFAR9,42.996799,-89.266418
KWIMIDDL11,43.117218,-89.59227
KWIMIDDL14,43.10178,-89.495956
KWIMIDDL19,43.081696,-89.55703
KWIMIDDL23,43.116711,-89.465874
KWIMIDDL25,43.061001,-89.533501
KWIMIDDL36,43.110374,-89.495911
KWIMIDDL39,43.129337,-89.595879
KWIMIDDL41,43.106846,-89.506584
KWIMIDDL45,43.122002,-89.587997
KWIMIDDL46,43.084,-89.5
KWIMIDDL58,43.074,-89.558
KWIMIDDL59,43.146,-89.563
KWIMIDDL62,43.111,-89.495
KWIMIDDL64,43.11,-89.478
KWIMIDDL65,43.075,-89.549
KWIMONON10,43.061,-89.35
KWIMONON11,43.058,-89.345
KWIMONON12,43.056,-89.348
KWIMONON13,43.059929,-89.342239
KWIMONON4,43.057999,-89.341003
KWIMONON7,43.068,-89.34
KWIMONON8,43.052,-89.329
KWISUNPR14,43.165916,-89.28373
KWISUNPR29,43.165916,-89.28373
KWISUNPR42,43.178814,-89.281029
KWISUNPR63,43.162998,-89.261002
KWISUNPR7,43.177685,-89.279091
KWISUNPR84,43.153,-89.269
KWISUNPR87,43.157,-89.259
KWIVERON28,42.992058,-89.547585
KWIVERON43,42.999065,-89.547348
KWIVERON46,43.039001,-89.558998
KWIVERON48,43.027,-89.578003
KWIVERON50,43.034,-89.559998
KWIVERON57,43.023,-89.543
KWIVERON58,43.055367,-89.563465
KWIVERON71,43.006464,-89.547021
KWIVERON72,42.996,-89.56
KWIVERON85,43.034,-89.56
KWIWAUNA18,43.207848,-89.380798
KWIWAUNA25,43.171452,-89.452011
KWIWAUNA31,43.176403,-89.446831
KWIWAUNA32,43.169998,-89.453003
KWIWAUNA38,43.197,-89.455
KWIWAUNA4,43.157375,-89.419601
KWIWAUNA40,43.185228,-89.45984
KWIWAUNA41,43.188,-89.47
KWIWAUNA42,43.183,-89.469
KWIWAUNA43,43.18,-89.467
KWIWAUNA46,43.184413,-89.452257
KWIWAUNA47,43.127,-89.444
KWIWINDS10,43.206,-89.348
